Name,BVN,Age,Occupation,LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance
Andreas Cremerf,25703879452,36,Scientist,1086.36,42171.98,3764.33,10,3,8,556.91,258,0,102.76,136.98,426.69
Bri,21889204038,36,Manager,1985.63,71681.4,5799.45,15,1,6,1293.02,308,1,53.92,137.33,638.69
Bri,21889204038,36,Manager,1909.64,71681.4,5799.45,15,1,10,1293.02,309,1,53.92,253.32,562.7
Bri,21889204038,36,Manager,1992.07,71681.4,5799.45,15,1,8,1293.02,310,1,53.92,120.89,645.13
ra Alperx,73799037814,16,Mechanic,3867.2,29469.98,2227.83,24,5,21,3421.66,161,1,69.69,27.25,375.85
ra Alperx,73799037814,16,Mechanic,3853.18,29469.98,2227.83,24,5,21,3421.66,162,1,69.69,71.26,361.83
ra Alperx,73799037814,16,Mechanic,3870.38,29469.98,2227.83,24,5,21,3421.66,165,1,69.69,24.07,379.03
Matt Falloonz,28557911407,19,Engineer,1506.42,72559.36,6284.61,17,4,21,1173.7,335,0,215.84,565.74,116.88
Matt Falloonz,28557911407,20,Engineer,1969.67,72559.36,6284.61,17,4,19,1173.7,341,0,215.84,82.5,580.13
Lawrencea,84178325382,36,Musician,2060.28,15566.02,1423.17,32,4,1338,1693.95,94,1,43.07,65.99,323.26
Lawrencea,84178325382,36,Musician,1956.65,15566.02,1423.17,32,4,20,1693.95,95,1,43.07,169.62,219.63
Emily Flitterl,67732713894,18,Developer,38353.98,66567.32,5800.28,5,2,15,233.79,291,0,37602,251.65,518.19
Nateg,37544878457,32,Media_Manager,937.44,12909.9,853.82,13,0,14,602.5,205,0,0,20.45,334.94
Nateg,37544878457,32,Media_Manager,910.72,12909.9,853.82,13,0,14,602.5,206,0,0,67.16,308.22
Nateg,37544878457,33,Media_Manager,863.68,12909.9,853.82,13,0,14,602.5,207,0,0,114.2,261.18
Toonkeln,98773781424,33,Accountant,3925.13,30788.44,2623.7,31,6,20,3470.08,17,1,114.53,97.31,340.52
Toonkeln,98773781424,33,Accountant,3919.46,30788.44,2623.7,31,6,21,3470.08,19,1,114.53,72.98,334.85
Jaisinghanij,89335399774,42,Architect,1021.63,20574.47,1740.54,14,4,10,749.95,136,1,49.35,192.37,222.33
Jaisinghanij,89335399774,42,Architect,1074.73,20574.47,1740.54,14,4,7,749.95,137,1,49.35,119.27,275.43
Pomeroyi,92031336364,22,Lawyer,1591.53,148699.32,12432.61,5,3,6,949.38,372,0,364.92,861.12,277.23
Olivia Oranr,90834061477,19,Musician,1891.28,85554.03,7185.5,3,0,7,1095.73,235,0,0,163,795.55
Rachelle Younglaic,60035731526,15,Entrepreneur,3994.89,18334118,4369.48,18,8,18,3422.49,126,1,314.9,124.54,257.5
Shupingu,46444641117,27,Architect,3077.16,14165.23,1057.44,33,9,24,2797.17,171,1,58.87,105.76,221.12
Shupingu,46444641117,27,Architect,3137.29,14165.23,1057.44,33,9,24,2797.17,173,1,58.87,45.63,281.25
Scheydere,41203744516,43,Lawyer,3809.11,81842.28,6810.19,25,9,19,3053.16,9,1,574.07,165.07,181.88
Nate Raymondj,92037355156,38,Doctor,1892.35,95956.5,8279.38,11,2,10,1079.73,380,0,95.52,265.31,717.1
Nate Raymondj,92037355156,38,Doctor,1649.86,95956.5,8279.38,11,2,13,1079.73,383,0,95.52,517.8,474.61
Nate Raymondj,92037355156,38,Doctor,1410.06,95956.5,8279.38,11,2,10,1079.73,385,0,95.52,777.6,234.81
Edwardk,99469973208,26,Manager,2832.86,49967.01,4091.92,31,6,11,2253.95,204,1,156,80.28,422.91
Edwardk,99469973208,26,Manager,2569.97,49967.01,4091.92,31,6,11,2253.95,205,1,156,373.17,160.02
Simon Jessope,28340078184,14,Developer,3523.1,39887.22,3224.94,16,5,21,3119.6,149,1,133.47,199,270.03
Simon Jessope,28340078184,14,Developer,3596,39887.22,3224.94,16,5,19,3119.6,153,1,133.47,96.1,342.93
Simon Jessope,28340078184,14,Developer,3590.42,39887.22,3224.94,16,5,19,3119.6,155,1,133.47,111.67,337.35
Kazunorit,90504702773,43,Developer,4338.42,14129.76,1012.48,21,8,17,4071.62,151,1,81.71,124.45,185.09
Kazunorit,90504702773,44,Developer,4378.76,14129.76,1023.22,21,8,18,4071.62,158,0,70.98,33.38,236.16
Ekr,48464388393,43,Developer,1601.35,123732.32,10416.03,11,0,8,1154.46,329,0,0,874.71,446.89
Herbert Lashb,78485736855,36,Writer,2810.5,17251.38,1654.62,7,7,15,2431.64,137,0,57.35,26.6,321.51
Herbert Lashb,78485736855,37,Writer,2734.66,17251.38,1654.62,7,7,12,2431.64,138,1,57.35,132.44,245.67
Christophd,75829820917,22,Entrepreneur,448.71,36822.29,3132.52,6,4,19,125.25,297,0,95.8,259.79,227.66
Christophd,75829820917,23,Entrepreneur,604.57,36822.29,3132.52,6,4,19,125.25,299,0,95.8,73.93,383.52
Christophd,75829820917,23,Entrepreneur,466.52,36822.29,3132.52,6,4,19,125.25,303,0,95.8,251.98,245.47
Mikeh,64172781162,25,Doctor,1404.85,80108.31,6866.69,17,0,16,997.28,213,1,0,549.1,407.57
Tim Hepherp,53980652437,20,Scientist,3742.3,69977.6,5978.47,20,9,18,3042.36,154,1,485.75,177.91,214.19
Granto,15549176876,16,Musician,2553.76,78988.48,6449.37,29,7,17,1746.9,121,1,291.78,88.07,515.08
Granto,15549176876,16,Musician,2366.23,78988.48,6449.37,29,7,17,1746.9,123,1,291.78,295.61,327.55
Granto,15549176876,16,Musician,2272.59,78988.48,6449.37,29,7,15,1746.9,126,1,291.78,399.25,233.91
Ermans,76249861209,45,Journalist,2510.42,41746.76,3651.9,31,3,22,1936.79,230,1,102.28,31.56,471.35
Ermans,76249861209,45,Journalist,2437.55,41746.76,3651.9,31,3,21,1936.79,232,1,102.28,134.42,398.48
Ermans,76249861209,45,Journalist,2499.18,41746.76,3651.9,31,3,18,1936.79,233,1,102.28,42.79,460.11
Laup,14110203003,19,Lawyer,1949.9,73737.36,5936.78,18,4,20,1219.39,374,1,214.81,113.16,515.7
Laup,14110203003,19,Lawyer,1679.01,73737.36,5936.78,18,4,20,1219.39,377,1,214.81,424.06,244.81
Christopher Doeringv,97801642958,34,Musician,1018.1,88362.46,7255.54,8,3,8,325.93,371,0,211.18,283.38,480.99
Christopher Doeringv,97801642958,34,Musician,1116.87,88362.46,7255.54,8,3,6,325.93,373,0,211.18,214.61,579.76
Michelley,77620661920,45,Entrepreneur,1214.98,118248.6,10115.05,4,0,10,191.09,205,0,0,227.62,1023.89
Michelley,77620661920,45,Entrepreneur,946.7,118248.6,10115.05,4,0,7,191.09,207,0,0,545.9,755.61
Michelley,77620661920,45,Entrepreneur,878.13,118248.6,10115.05,4,0,13,191.09,212,0,0,614.47,687.04
Stempelp,11150340055,26,Scientist,1727.18,60162.1,5197.51,5,7,10,1037.45,158,1,220.21,80.01,469.52
Stempelp,11150340055,26,Scientist,1653.75,60162.1,5197.51,5,7,10,1037.45,159,1,220.21,153.45,396.09
Wohli,50843502001,18,Musician,3458.19,75273.24,6424.02,32,5,10,2497.34,68,1,351.37,73.18,609.48
Goldsteinv,89015407524,18,Media_Manager,5035.08,54820.89,4295.41,28,6,20,4795.13,35,1,169.48,479.59,70.47
Goldsteinv,89015407524,18,Media_Manager,5297.54,54820.89,4295.41,28,6,17,4795.13,41,0,169.48,177.13,332.93
Goldsteinv,89015407524,18,Media_Manager,5355.79,54820.89,4295.41,28,6,17,4795.13,42,1,169.48,118.88,391.18
Silvia Aloisiq,59878060499,42,Entrepreneur,6782.34,58674.66,4824.56,15,4,23,2425.38,161,1,3864,113.4,492.96
Silvia Aloisiq,59878060499,42,Entrepreneur,2569.12,58674.66,4824.56,15,4,25,2425.38,162,1,116.1,628.71,27.64
Colew,11667349143,30,Architect,1041.55,30390.44,2721.54,5,4,17,580.31,294,0,64.85,60.91,396.39
Longstrethy,97036241007,42,Doctor,2762.47,45207.54,3507.3,24,6,22,2497.48,197,1,148.91,375.73,116.08
Longstrethy,97036241007,43,Doctor,3009.12,45207.54,3507.3,24,6,20,2497.48,200,1,148.91,119.09,362.73
Patrick Temple-Westf,60902798112,39,Engineer,746.26,30346.35,2651.86,14,7,9,523.56,101,1,96.72,332.49,125.98
Dowsettk,41703037272,47,Mechanic,713.41,18681.47,1584.79,9,2,8,327.88,375,0,24.82,32.95,360.71
David Henryp,26204234736,41,Scientist,5277.91,9841.34,690.11,31,5,15,4984.82,54,0,36.68,55.92,256.41
Svea Herbst-Baylisss,56008125637,16,Teacher,3029.57,43241.49,3282.27,30,6,14,2174.16,152,1,460.43,50.83,394.98
Svea Herbst-Baylisss,56008125637,16,Teacher,2985.8,43241.49,3282.27,30,6,17,2174.16,153,1,460.43,94.6,351.21
Papadimaso,77737451832,34,Architect,1374.38,17001.34,1214.78,5,1,20,1093.87,208,0,10.54,120.97,269.97
Papadimaso,77737451832,34,Architect,1453.45,17001.34,1214.78,5,1,18,1093.87,209,0,10.54,51.91,349.04
Papadimaso,77737451832,34,Architect,1414.76,17001.34,1214.78,5,1,21,1093.87,212,0,10.54,50.59,310.35
Blenkinsopc,11885953191,21,Accountant,4307.87,44719.17,3969.6,29,7,20,3818.57,156,0,248.6,167.66,240.7
Blenkinsopc,11885953191,21,Accountant,4169.36,44719.17,3969.6,29,7,20,3818.57,158,1,248.6,316.17,102.19
Blenkinsopc,11885953191,21,Accountant,4349.77,44719.17,3969.6,29,7,19,3818.57,162,1,248.6,115.76,282.6
Tagarish,72973665980,47,Accountant,1072.83,17787.34,1242.28,16,2,15,730.9,357,0,20.06,42.3,321.87
Tagarish,72973665980,47,Accountant,1015.98,17787.34,1242.28,16,2,16,730.9,362,0,20.06,119.15,265.02
Raymondl,19957620760,42,Teacher,1473.46,103353.06,8527.76,6,1,9,1374.56,310,0,64,1043.87,34.9
Raymondl,19957620760,42,Teacher,2400.23,103353.06,8527.76,6,1,12,1374.56,314,0,64,67.11,961.67
Andreasc,60987998134,38,Journalist,1309.91,31021.24,2756.1,11,4,21,852.81,394,0,90.76,68.51,366.34
Andreasc,60987998134,38,Journalist,1261.43,31021.24,2756.1,11,4,20,852.81,396,0,90.76,136.99,317.86
Andreasc,60987998134,38,Journalist,1235.02,31021.24,2756.1,11,4,20,852.81,398,0,90.76,153.4,291.45
Andreasc,60987998134,38,Journalist,1311.44,31021.24,2756.1,11,4,20,852.81,399,0,90.76,56.98,367.87
Andreasc,60987998134,38,Journalist,1317.33,31021.24,2756.1,11,4,20,852.81,400,0,90.76,81.09,373.76
Elinor Comlaye,34480051655,36,Journalist,1894.54,134978.24,11059.19,15,2,16,668.14,315,1,145.11,129.52,1081.29
Elinor Comlaye,34480051655,36,Journalist,1908.1,134978.24,10541.52,15,2,16,668.14,319,1,662.78,663.63,577.18
Jeanine Preziosor,12569095174,28,Writer,845.22,39800.12,3047.68,12,3,18,660.69,215,1,58.49,410.24,126.04
Jeanine Preziosor,12569095174,28,Writer,1181.67,39800.12,3047.68,12,3,18,660.69,216,1,58.49,33.79,462.49
Jeanine Preziosor,12569095174,28,Writer,1094.42,39800.12,3047.68,12,3,18,660.69,218,1,58.49,121.04,375.24
Jeanine Preziosor,12569095174,28,Writer,971,39800.12,3047.68,12,3,20,660.69,220,1,58.49,274.46,251.82
Alexh,81368965203,17,Manager,4216.03,14841.35,1437.78,17,7,16,3865.15,90,1,71.54,82.89,279.34
Alexh,81368965203,17,Manager,4127.84,14841.35,1437.78,17,7,14,3865.15,91,1,71.54,171.09,191.15
Alexh,81368965203,17,Manager,65646.4,14841.35,1437.78,17,7,16,3865.15,93,1,61490,60.99,291.25
Alexh,81368965203,17,Manager,4186.16,14841.35,1437.78,17,7,16,3865.15,94,1,71.54,112.76,249.47
Aruna Viswanathau,52088615599,28,Mechanic,694.01,15398.95,1548.25,5,4,0,343.84,340,0,34.81,74.65,315.36
Aruna Viswanathau,52088615599,28,Mechanic,660.68,15398.95,1548.25,5,4,0,343.84,344,0,34.81,107.98,282.03
Nicolacih,45379034015,18,Developer,1355.33,27070.07,2518.84,11,4,15,919.76,350,0,73.23,76.31,362.34
Nicolacih,45379034015,18,Developer,1147.55,27070.07,2518.84,11,4,15,919.76,351,0,73.23,314.09,154.56
Nicolacih,45379034015,18,Developer,1317.46,27070.07,2518.84,11,4,1106,919.76,352,0,73.23,104.18,324.47
Nicolacih,45379034015,18,Developer,1261.36,27070.07,2518.84,11,4,13,919.76,356,0,73.23,190.28,268.37
Taiga Uranakan,56415786959,55,Musician,1975.39,139354.48,10872.27,18,0,16,519.3,244,0,760.61,737.81,695.48
Suev,44089443624,22,Teacher,666.5,18305.25,1557.44,4,0,9,363.51,247,0,0,142.75,302.99
Allison Martelly,38583993952,26,Journalist,1069.17,27865.26,2606.11,6,1,18,635.59,371,1,17.7,117.03,415.88
Stempeln,65553537425,36,Architect,411.02,23404.86,1899.41,7,0,17,35.54,343,1,0,84.46,375.48
Stempeln,65553537425,36,Architect,431.09,23404.86,1899.41,7,0,16,35.54,348,1,0,34.39,395.55
Steve Slatery,46400988528,33,Musician,5114.3,14205.09,1086.76,21,8,19,4845.24,162,1,49.03,129.61,220.03
ita Bosed,96087387701,28,Scientist,4166.75,62320.56,5068.38,18,5,15,3589.56,16,1,171.35,179.65,405.84
ita Bosed,96087387701,28,Scientist,4233.98,62320.56,5068.38,18,5,15,3589.56,17,1,171.35,102.42,473.07
ita Bosed,96087387701,28,Scientist,4183.56,62320.56,5068.38,18,5,17,3589.56,18,0,171.35,162.84,422.65
Jenniferu,47914678816,25,Manager,1570.47,43758.34,3454.53,12,2,2,1194.28,397,0,56.31,229.26,319.88
Jenniferu,47914678816,25,Manager,1412.2,43758.34,3454.53,12,2,2,1194.28,398,0,56.31,417.53,161.61
B.u,88143322693,20,Writer,1298.99,144881.68,11877.47,15,4,12,404.51,316,1,414.66,553.27,479.82
Leongy,22567356940,38,Media_Manager,38652.35,108147.3,8926.28,6,4,20,1113.06,352,1,37514,946.16,25.29
Vaughano,13317891594,27,Lawyer,3851.73,17759.1,1533.93,19,5,20,3598.39,57,1,64.55,190.05,188.79
Vaughano,13317891594,27,Lawyer,3891.46,17759.1,1533.93,19,5,21,3598.39,59,1,64.55,130.32,228.52
Vaughano,13317891594,28,Lawyer,3871.26,17759.1,1533.93,19,5,23,3598.39,63,1,64.55,170.52,208.32
Vaughano,13317891594,28,Lawyer,3908.7,17759.1,1533.93,19,5,20,3598.39,64,1,64.55,123.08,245.76
Doris Frankelj,98564498836,37,Teacher,1347.85,85328.73,6858.73,11,1,17,585.05,382,0,68.46,203.07,694.34
Alexei Oreskovicf,88797697511,27,Writer,3582.53,134321.44,9997.59,12,4,21,1428.68,396,1,1320.55,259.46,833.3
Alexei Oreskovicf,88797697511,27,Writer,3642.47,134321.44,9997.59,12,4,20,1428.68,399,0,1320.55,209.52,893.24
Anna Driverq,48014774330,19,Developer,1444.75,28665.76,2582.81,5,1,10,1237.46,291,0,22.69,340.99,184.6
Anna Driverq,48014774330,19,Developer,1583.71,28665.76,2582.81,5,1,10,1237.46,292,0,22.69,182.03,323.56
Soyoungc,75201131357,32,Architect,2410.13,38364.82,2904.07,32,4,22,1973.63,233,1,74.85,123.9,361.65
Soyoungc,75201131357,32,Architect,2423,38364.82,2904.07,32,4,22,1973.63,234,1,74.85,111.04,374.52
Ritsukoh,40303592302,21,Lawyer,2235.16,66528.24,5733.02,11,0,8,1460.8,269,1,0,38.95,774.36
ernieh,88868523924,55,Doctor,693.65,19403.41,1904.95,3,3,11,339.11,197,0,39.21,125.95,315.33
ernieh,88868523924,55,Doctor,626.88,19403.41,1904.95,3,3,9,339.11,198,0,39.21,192.72,248.56
ernieh,88868523924,55,Doctor,604.78,19403.41,1904.95,3,3,10,339.11,203,0,39.21,214.82,226.46
Matt Falloono,96674710920,19,Journalist,684.24,31122.79,2761.57,12,0,20,358.6,273,0,0,220.51,325.64
Matt Falloono,96674710920,19,Journalist,817.52,31122.79,2761.57,12,0,20,358.6,275,0,0,57.24,458.92
Matt Falloono,96674710920,19,Journalist,552.08,31122.79,2761.57,12,0,19,358.6,279,0,0,372.68,193.48
John McCrankg,78434867666,19,Architect,693.24,15015.4,1213.28,9,1,11,330.17,261,0,11.69,48.26,351.38
Hornbyg,15848112963,34,Engineer,573.6,19777.05,1728.09,3,3,3,186.16,266,0,29.05,65.38,358.39
Toonkelf,84454631734,24,Musician,789.55,20188.02,1851.34,6,3,6,399.92,243,0,25.58,35.5,364.05
Toonkelf,84454631734,25,Musician,784.09,20188.02,1851.34,6,3,6,399.92,248,0,25.58,50.97,358.59
Stevee,79086738962,32,Engineer,2359.44,55151.04,4704.92,23,6,17,1743.83,151,1,171.82,104.88,443.79
Stevee,79086738962,32,Engineer,2351.77,55151.04,4704.92,23,6,19,1743.83,152,1,171.82,112.55,436.12
Mariy,67749100795,39,Manager,1084.21,30536.62,2430.72,7,2,7,687.87,184,1,42.97,96.73,353.37
Rl,51225212339,29,Architect,2369.62,147499.6,12353.63,12,2,0,1250.67,247,0,192.21,396.41,926.74
Kevinq,96536733216,42,Architect,2141.42,20005.22,1683.1,6,4,22,1859.45,150,1,59.51,166.33,222.46
Kevinq,96536733216,43,Architect,2244.02,20005.22,1683.1,6,4,20,1859.45,154,1,59.51,33.73,325.06
Kevinq,96536733216,43,Architect,2141.31,20005.22,1683.1,6,4,20,1859.45,156,1,59.51,176.45,222.35
Clarkew,18823378306,32,Scientist,3416.58,19795.52,1662.63,34,8,22,3135.02,28,1,130.48,174.71,151.08
Clarkew,18823378306,32,Scientist,3490.01,19795.52,1662.63,34,8,21,3135.02,29,1,130.48,61.28,224.51
Taylorq,20663406824,33,Doctor,4557.07,60938.13,5163.18,31,8,18,3947.24,58,1,378.3,166.49,231.53
Marilynj,35233354796,54,Manager,2003.9,80396.86,6623.74,9,0,11,1357.54,317,0,0,266.01,646.36
Marilynj,35233354796,54,Manager,2004.49,80396.86,6623.74,9,0,10,1357.54,320,0,0,305.42,646.95
Marilynj,35233354796,54,Manager,1877.33,80396.86,6623.74,9,0,11,1357.54,322,0,0,422.59,519.79
Marilynj,35233354796,54,Manager,2048.94,80396.86,6623.74,9,0,11,1357.54,323,0,0,230.98,691.4
Browningo,59509413826,42,Writer,4995.38,57610.32,4517.86,25,9,23,4428.64,18,1,256.23,135.04,310.51
Browningo,59509413826,42,Writer,5084.39,57610.32,4517.86,25,9,23,4428.64,20,1,256.23,36.03,399.52
Browningo,59509413826,42,Writer,4745.41,57610.32,4517.86,25,9,23,4428.64,22,1,256.23,415.01,60.54
Scott Maloneq,31869257221,17,Journalist,2587.27,19163.22,1346.94,7,2,18,2226.37,198,0,24.18,13.8,336.72
Scott Maloneq,31869257221,17,Journalist,2539.34,19163.22,1346.94,7,2,18,2226.37,199,1,24.18,81.73,288.79
Strupczewskid,52366259588,48,Media_Manager,2409.96,94554.87,7914.57,2,0,0,1487.9,269,0,0,119.4,922.06
Henry Foyi,68404612859,27,Musician,389.56,63536.98,5382.75,12,2,15,89.62,372,0,69.1,528.33,230.84
Henry Foyi,68404612859,27,Musician,446.26,63536.98,5382.75,12,2,16,89.62,374,1,69.1,451.64,287.54
Henry Foyi,68404612859,27,Musician,726.86,63536.98,5382.75,12,2,16,89.62,375,1,69.1,151.04,568.14
Clara Ferreira-Marquesi,82026528698,15,Accountant,1509.41,27796.42,2300.37,16,2,15,1073.94,331,1,36.07,34.57,399.4
Aruna Viswanathag,40315749493,30,Engineer,1014.14,132872.72,11203.73,10,2,6,89.68,333,0,144.83,475.92,779.63
Aruna Viswanathag,40315749493,30,Engineer,561.33,132872.72,11203.73,10,2,4,89.68,338,0,144.83,918.72,326.82
Aruna Viswanathag,40315749493,30,Engineer,1276.54,132872.72,11203.73,10,2,5,89.68,339,0,144.83,173.51,1042.03
Caseyo,43649991470,41,Architect,2190.92,140014.36,11662.86,18,4,10,1151.7,206,0,348.62,377.06,690.6
Caseyo,43649991470,41,Architect,1754.79,140014.36,11662.86,18,4,10,1151.7,207,0,348.62,843.2,254.47
